module_code,course_title,industry,industry_others,occupation,other_occupations_title
IT1001,Introduction to Theatre and Performance,Administrative and Support Services Activities,,Non Applicable based on skip pattern,
LAF2201,Introduction to Modern Physics,Administrative and Support Services Activities,,Non Applicable based on skip pattern,
ST3236,Research Methodology & Ethics,Administrative and Support Services Activities,,Non Applicable based on skip pattern,
PL3239,Popular Culture in Singapore,Administrative and Support Services Activities,,Non Applicable based on skip pattern,
LSM3212,Engineering Electromagnetics,Administrative and Support Services Activities,,Non Applicable based on skip pattern,
GER1000,Programming Methodology,Administrative and Support Services Activities,,Non Applicable based on skip pattern,
MA1506,Mathematics II,Administrative and Support Services Activities,,Non Applicable based on skip pattern,
GE1101E,General Physiology,Administrative and Support Services Activities,,Non Applicable based on skip pattern,
GEM2900,General and Physical Chemistry for Engineers,Administrative and Support Services Activities,,"Others, please provide job title and description",ASSISTANT MANAGER
LAJ1201,DOCTORAL SEMINARS,Administrative and Support Services Activities,,"Others, please provide job title and description",ASSISTANT MANAGER
ST3131,Chemical Kinetics & Reactor Design,Administrative and Support Services Activities,,"Others, please provide job title and description",ASSISTANT MANAGER
CS1020,English for Academic Purposes,Administrative and Support Services Activities,,"Others, please provide job title and description",ASSISTANT MANAGER
ME4101,Project,Administrative and Support Services Activities,,"Others, please provide job title and description",ASSISTANT MANAGER
LAK2201,Human Factors Engineering,Administrative and Support Services Activities,,"Others, please provide job title and description",ASSISTANT MANAGER
EG2401,Principles of Economics,Administrative and Support Services Activities,,"Others, please provide job title and description",ASSISTANT MANAGER
NCC1000,Metabolism and Regulation,Administrative and Support Services Activities,,"Others, please provide job title and description",ASSISTANT MANAGER
GET1031A,Physiology 1,Administrative and Support Services Activities,,Appraiser/ Valuer,
DSC2003,Organic Chemistry 2,Administrative and Support Services Activities,,Appraiser/ Valuer,
EG1108,Linear Algebra I,Administrative and Support Services Activities,,Appraiser/ Valuer,
CN2108,Great Ideas in Contemporary Physics,Administrative and Support Services Activities,,Appraiser/ Valuer,
GEK1542,Process Dynamics & Control,Administrative and Support Services Activities,,Appraiser/ Valuer,
LSM2103,Introduction to Politics,Administrative and Support Services Activities,,Appraiser/ Valuer,
IS2102,Anthropology and the Human Condition,Administrative and Support Services Activities,,Appraiser/ Valuer,
LAM1201,Human Development over the Lifespan,Administrative and Support Services Activities,,Appraiser/ Valuer,
PC1326,French 2,Administrative and Support Services Activities,,"Others, please provide job title and description",
EC1301,Financial Accounting,Administrative and Support Services Activities,,"Others, please provide job title and description",
EE3331C,Thermodynamics and Statistical Mechanics,Administrative and Support Services Activities,,"Others, please provide job title and description",
SSD2210,Acute and Specialty Clinical Practice,Administrative and Support Services Activities,,"Others, please provide job title and description",
ST2334,Foundations for Econometrics,Administrative and Support Services Activities,,"Others, please provide job title and description",
PL1101E,Electrical Engineering,Administrative and Support Services Activities,,"Others, please provide job title and description",
ME2143,Fundamental Pharmacology,Administrative and Support Services Activities,,"Others, please provide job title and description",
NUR3113,Economy of Modern China I,Administrative and Support Services Activities,MEDIA,Teachers’ Aide,
MA1506,Mathematics II,Administrative and Support Services Activities,MEDIA,Teachers’ Aide,
LSM1104,Feedback Control Systems,Administrative and Support Services Activities,MEDIA,Teachers’ Aide,
LSM3214,Singapore and Japan: Historical and Contemporary Relationships,Administrative and Support Services Activities,MEDIA,Teachers’ Aide,
CN6999,Field Service Project,Administrative and Support Services Activities,MEDIA,Teachers’ Aide,
LAC2201,Reading Visual Images,Administrative and Support Services Activities,MEDIA,Teachers’ Aide,
CH1101E,Management Science,Administrative and Support Services Activities,MEDIA,Teachers’ Aide,
PC1432,Japanese 1,"Architectural, Engineering, Land Surveying & Technical Services)",,Appraiser/ Valuer,
CM3292,Global Economic Dimensions of Singapore,"Architectural, Engineering, Land Surveying & Technical Services)",,Appraiser/ Valuer,
TG2415,Principles of Communication Management,"Architectural, Engineering, Land Surveying & Technical Services)",,Appraiser/ Valuer,
CM1121,Database Systems,"Architectural, Engineering, Land Surveying & Technical Services)",,Appraiser/ Valuer,
NM2219,Devices and Circuits,"Architectural, Engineering, Land Surveying & Technical Services)",,Appraiser/ Valuer,
CM1191,Property Management,"Architectural, Engineering, Land Surveying & Technical Services)",,Appraiser/ Valuer,
PC1431,NUS Data Protection & PDPA Guidelines,"Architectural, Engineering, Land Surveying & Technical Services)",,Appraiser/ Valuer,
CL1101E,Separation Processes,"Architectural, Engineering, Land Surveying & Technical Services)",,Appraiser/ Valuer,
GET1029,Stochastic Processes I,"Architectural, Engineering, Land Surveying & Technical Services)",,Information Technology Testing/ Quality Assurance Specialist,
IT1004,Research Methodology,"Architectural, Engineering, Land Surveying & Technical Services)",,Information Technology Testing/ Quality Assurance Specialist,
ME2142,Fundamentals of Physics II,"Architectural, Engineering, Land Surveying & Technical Services)",,Information Technology Testing/ Quality Assurance Specialist,
CE2183,The Theatre Experience,"Architectural, Engineering, Land Surveying & Technical Services)",,Information Technology Testing/ Quality Assurance Specialist,
SW2104,Organic Chemistry 1,"Architectural, Engineering, Land Surveying & Technical Services)",,Information Technology Testing/ Quality Assurance Specialist,
NM2209,Advertising Strategies,"Architectural, Engineering, Land Surveying & Technical Services)",,Information Technology Testing/ Quality Assurance Specialist,
LAJ2201,Managerial Accounting,"Architectural, Engineering, Land Surveying & Technical Services)",,Information Technology Testing/ Quality Assurance Specialist,
GEQ1000,Operations Management,"Architectural, Engineering, Land Surveying & Technical Services)",,Information Technology Testing/ Quality Assurance Specialist,
CS1101S,Modern Technology in Medicine and Health,"Architectural, Engineering, Land Surveying & Technical Services)",,Research Officer (Non-Statistical),
BSP2001,Genes and Society,"Architectural, Engineering, Land Surveying & Technical Services)",,Research Officer (Non-Statistical),
ST2131,Cell Biology,"Architectural, Engineering, Land Surveying & Technical Services)",,Research Officer (Non-Statistical),
BMA5008,Digital Construction,"Architectural, Engineering, Land Surveying & Technical Services)",,Research Officer (Non-Statistical),
MS1102E,University Scholars Seminar,"Architectural, Engineering, Land Surveying & Technical Services)",,Research Officer (Non-Statistical),
PC1221,Regression Analysis,"Architectural, Engineering, Land Surveying & Technical Services)",,Research Officer (Non-Statistical),
MA1100,Leadership and Ethics,"Architectural, Engineering, Land Surveying & Technical Services)",,Research Officer (Non-Statistical),
EG2401,Principles of Economics,"Architectural, Engineering, Land Surveying & Technical Services)",,"Others, please provide job title and description",MANAGEMENT TRAINEE
BSP2005,Introduction to Statistics,"Architectural, Engineering, Land Surveying & Technical Services)",,"Others, please provide job title and description",MANAGEMENT TRAINEE
MS1102E,University Scholars Seminar,"Architectural, Engineering, Land Surveying & Technical Services)",,"Others, please provide job title and description",MANAGEMENT TRAINEE
GEK1001,Cognitive Psychology,"Architectural, Engineering, Land Surveying & Technical Services)",,"Others, please provide job title and description",MANAGEMENT TRAINEE
LSM2101,Statics And Mechanics Of Materials,"Architectural, Engineering, Land Surveying & Technical Services)",,"Others, please provide job title and description",MANAGEMENT TRAINEE
EG2401,Principles of Economics,"Architectural, Engineering, Land Surveying & Technical Services)",,"Others, please provide job title and description",MANAGEMENT TRAINEE
GEM2027,"Process Safety, Health and Environment","Architectural, Engineering, Land Surveying & Technical Services)",,"Others, please provide job title and description",MANAGEMENT TRAINEE
SSS1207,Physics in the Life Sciences,"Architectural, Engineering, Land Surveying & Technical Services)",,Non Applicable based on skip pattern,
CN4118R,Power Electronics,"Architectural, Engineering, Land Surveying & Technical Services)",,Non Applicable based on skip pattern,
SSA2202,Japanese 2,"Architectural, Engineering, Land Surveying & Technical Services)",,Non Applicable based on skip pattern,
MKT1003X,Biochemistry of Biomolecules,"Architectural, Engineering, Land Surveying & Technical Services)",,Non Applicable based on skip pattern,
LAJ1201,DOCTORAL SEMINARS,"Architectural, Engineering, Land Surveying & Technical Services)",,Non Applicable based on skip pattern,
EC2374,Real Estate Marketing & Negotiation,"Architectural, Engineering, Land Surveying & Technical Services)",,Non Applicable based on skip pattern,
ES2007D,Managing Singapore's Built Environment,"Architectural, Engineering, Land Surveying & Technical Services)",,Non Applicable based on skip pattern,
EE2011,Bachelor Of Engineering Dissertation,"Architectural, Engineering, Land Surveying & Technical Services)",,Building Architect,
GE2218,Architectural Construction,"Architectural, Engineering, Land Surveying & Technical Services)",,Building Architect,
CM1121,Database Systems,"Architectural, Engineering, Land Surveying & Technical Services)",,Building Architect,
ES5002,Drugs and Society,"Architectural, Engineering, Land Surveying & Technical Services)",,Building Architect,
GE2204,Introduction to Circuits and Systems,"Architectural, Engineering, Land Surveying & Technical Services)",,Building Architect,
PC1432,Japanese 1,"Architectural, Engineering, Land Surveying & Technical Services)",,Building Architect,
LC2009,Inorganic Chemistry 2,"Architectural, Engineering, Land Surveying & Technical Services)",,Building Architect,
PL3233,Fundamentals Of Mechanical Design,Hospitality,,Non Applicable based on skip pattern,
PL1101E,Electrical Engineering,Hospitality,,Non Applicable based on skip pattern,
EE2021,Intercultural Communication,Hospitality,,Non Applicable based on skip pattern,
EL1101E,General Biology,Hospitality,,Non Applicable based on skip pattern,
ME2134,Engineering Thermodynamics,Hospitality,,Non Applicable based on skip pattern,
EC2102,Understanding the Universe,Hospitality,,Non Applicable based on skip pattern,
CS3241,Digital Design,Hospitality,,Non Applicable based on skip pattern,
PC1221,Regression Analysis,Hospitality,,Non Applicable based on skip pattern,
SC1101E,Physics IE,Hospitality,,General Practitioner/ Physician (Generalist Medical Practitioner),
MA1104,Numerical Analysis I,Hospitality,,General Practitioner/ Physician (Generalist Medical Practitioner),
LAG1201,Public Speaking and Critical Reasoning,Hospitality,,General Practitioner/ Physician (Generalist Medical Practitioner),
MNO2009,Japanese 3,Hospitality,,General Practitioner/ Physician (Generalist Medical Practitioner),
PC1322,"South Asia : People, Culture, Develop'm",Hospitality,,General Practitioner/ Physician (Generalist Medical Practitioner),
LAB1201,Introduction to Japanese Studies,Hospitality,,General Practitioner/ Physician (Generalist Medical Practitioner),
EC1301,Financial Accounting,Hospitality,,General Practitioner/ Physician (Generalist Medical Practitioner),
CS2100,The Evolution of a Global City-State,Hospitality,,General Practitioner/ Physician (Generalist Medical Practitioner),
ME2101,Forensic Science,Hospitality,,Business Development Executive,
PF1101,Bahasa Indonesia 2,Hospitality,,Business Development Executive,
ME2134,Engineering Thermodynamics,Hospitality,,Business Development Executive,
TS1101E,Research and Statistical Methods II,Hospitality,,Business Development Executive,
GER1000,Programming Methodology,Hospitality,,Business Development Executive,
AR1326,Foundation Academic English,Hospitality,,Business Development Executive,
PC1325,Social Thought & Social Theory,Hospitality,,Business Development Executive,
